ts_epoch,Hex,Flight,Lat,Lon,Alt,Track,Speed,Squawk,Messages,Groundspeed,Rate_of_climb,af_category,ts_iso8601
1693090094,ab2b2c,,0,0,0,0,0,,3674,0,0,A4,2023-08-26T17:48:14-05:00
1693090124,acb82c,,0,0,23525,290.7,404.1,,34,404.1,-2112,,2023-08-26T17:48:44-05:00
1693090124,a6dfbf,JIA5588 ,44.809341,-93.028891,5900,133.4,254.7,3630,165,254.7,0,A3,2023-08-26T17:48:44-05:00
1693090124,a9bb53,N726RF  ,45.08277,-93.234603,24750,99.5,483.7,534,163,483.7,0,A2,2023-08-26T17:48:44-05:00
1693090124,ad2baa,JBU96   ,44.46977,-92.768957,35000,102.4,520.2,3515,769,520.2,0,A3,2023-08-26T17:48:44-05:00
1693090124,a6ff6c,N550AA  ,44.769424,-92.479183,45000,120.9,533.7,2435,1107,533.7,-64,A3,2023-08-26T17:48:44-05:00
1693090124,ade191,DAL2992 ,44.864114,-92.376597,19925,274.2,356,3311,369,356,-4352,A3,2023-08-26T17:48:44-05:00
1693090124,ac0b96,SWA2509 ,0,0,0,167.2,361,,181,361,1024,A3,2023-08-26T17:48:44-05:00
1693090124,aaeb1b,GAJ802  ,44.943192,-93.040597,7775,297.4,262.5,3170,1817,262.5,0,A1,2023-08-26T17:48:44-05:00
1693090124,abb839,,0,0,1800,0,0,,462,0,0,,2023-08-26T17:48:44-05:00
1693090124,a44308,DAL1717 ,44.866069,-92.710207,12700,268.8,333.1,2441,1837,333.1,-1024,A3,2023-08-26T17:48:44-05:00
1693090124,c058bf,,44.51744,-91.880739,41000,90.1,548,,1099,548,0,A5,2023-08-26T17:48:44-05:00
1693090124,a65a7a,,0,0,0,0,0,1447,1206,0,0,A1,2023-08-26T17:48:44-05:00
1693090124,ad6b0c,,0,0,0,0,0,,424,0,0,A3,2023-08-26T17:48:44-05:00
1693090124,a59d63,ASA281  ,44.571808,-93.176095,34000,306.3,408.4,1375,1685,408.4,0,A3,2023-08-26T17:48:44-05:00
1693090124,abb6bc,COL854  ,44.992126,-93.173218,7175,297.4,269.3,1037,2713,269.3,-1280,A2,2023-08-26T17:48:44-05:00
1693090154,a2b133,UAL755  ,45.721979,-93.566574,37000,105.1,521.1,,39,521.1,0,A3,2023-08-26T17:49:14-05:00
1693090154,acb82c,DAL2034 ,44.839488,-92.134563,22625,290.9,382,1364,123,382,-704,A3,2023-08-26T17:49:14-05:00
1693090154,a6dfbf,JIA5588 ,44.787955,-92.997258,6800,133.7,270.9,3630,326,270.9,0,A3,2023-08-26T17:49:14-05:00
1693090154,a9bb53,N726RF  ,45.072668,-93.149057,23575,99.5,486.6,534,252,486.6,0,A2,2023-08-26T17:49:14-05:00
1693090154,ad2baa,JBU96   ,44.454315,-92.671687,35000,102.5,520.4,3515,875,520.4,0,A3,2023-08-26T17:49:14-05:00
